Airport 1,Airport 2,Distance
YYZ,YYC,1670.9778546995633
YYZ,YXE,1373.1669723772327
YYZ,YWG,934.5502474619186
YYZ,YVR,2078.801951524449
YYZ,YUL,315.1580215592454
YYZ,YEG,1670.9302188642127
YYZ,XNA,927.8317897899688
YYZ,VPS,986.7546926703801
YYZ,TYS,590.6433194988089
YYZ,TVC,303.71239149013655
YYZ,TUS,1869.9274773104162
YYZ,TUL,1001.7318355868186
YYZ,TRI,518.726427422529
YYZ,TPA,1096.804097924895
YYZ,TLH,953.3748628194476
YYZ,SYR,181.19629846715912
YYZ,STL,653.0772120123208
YYZ,SRQ,1136.7053197822802
YYZ,SNA,2153.348639522161
YYZ,SMF,2185.1003928672535
YYZ,SLC,1656.201520625891
YYZ,SJC,2239.0251599414505
YYZ,SFO,2253.8939212024047
YYZ,SEA,2054.6485275171194
YYZ,SDF,495.83011077900073
YYZ,SBN,365.66131579164966
YYZ,SAV,802.5412722587874
YYZ,SAT,1424.260308513749
YYZ,SAN,2153.0708356477326
YYZ,RSW,1190.2869792141125
YYZ,ROC,105.60138710906718
YYZ,ROA,439.231908811867
YYZ,RNO,2073.667929544759
YYZ,RIC,443.29263298554923
YYZ,RDU,540.7470596416886
YYZ,RAP,1163.3840420788188
YYZ,PWM,465.67580924418945
YYZ,PVD,437.7551430467348
YYZ,PSP,2080.3747176587517
YYZ,PSC,1918.4409735001343
YYZ,PNS,1001.795327918948
YYZ,PIT,222.26460706029007
YYZ,PHX,1872.4465051720172
YYZ,PHL,346.7133660599148
YYZ,PHF,481.32297946796393
YYZ,PDX,2091.3661354655733
YYZ,PBI,1174.4584330685043
YYZ,ORF,502.15723374558297
YYZ,ORD,435.1783318549407
YYZ,ONT,2126.980155916145
YYZ,OMA,843.2309864622391
YYZ,OKC,1112.0395326135902
YYZ,OAK,2243.3075197402745
YYZ,MYR,691.7896930896582
YYZ,MTJ,1506.457679728824
YYZ,MSY,1111.0777503314266
YYZ,MSP,676.6337903784126
YYZ,MSO,1676.010295604277
YYZ,MSN,488.3619937192775
YYZ,MOB,1013.4121008103278
YYZ,MLB,1077.5595933338998
YYZ,MKE,418.43644007538535
YYZ,MIA,1236.2199908082434
YYZ,MHT,415.06520264546015
YYZ,MEM,811.9961042407049
YYZ,MDW,432.19635587045696
YYZ,MDT,282.1867617163235
YYZ,MCO,1057.6192577939244
YYZ,MCI,835.7537741165261
YYZ,LIT,912.8834239046274
YYZ,LGA,356.141135386231
YYZ,LFT,1151.3544114724873
YYZ,LEX,468.2925583577526
YYZ,LAX,2171.035663260466
YYZ,LAS,1938.867664097821
YYZ,JFK,365.73617626613384
YYZ,JAX,917.8096092278375
YYZ,JAN,967.907985955179
YYZ,JAC,1546.159470016395
YYZ,IND,439.1216408983631
YYZ,ILM,656.4829445871487
YYZ,ICT,1019.0297245465314
YYZ,IAH,1280.073417249962
YYZ,IAD,345.89318265924896
YYZ,HSV,731.8870008126959
YYZ,HPN,351.9116245096697
YYZ,HOU,1296.3168104893284
YYZ,HDN,1425.1147587719242
YYZ,GTF,1546.1528353669676
YYZ,GSP,622.2384119804616
YYZ,GSO,523.9363899482588
YYZ,GRR,301.38235529313135
YYZ,GRB,425.31322090931906
YYZ,GPT,1052.675609714179
YYZ,GNV,977.2855835631569
YYZ,GEG,1832.2118071067873
YYZ,FSD,854.253454693111
YYZ,FNT,212.49023861588842
YYZ,FLL,1216.7115140037686
YYZ,FCA,1677.6938688040088
YYZ,FAY,601.4739691780577
YYZ,FAR,862.7842564469652
YYZ,EYW,1326.61527369368
YYZ,EWR,347.32383788657427
YYZ,ELP,1664.9835576452208
YYZ,EGE,1429.0861510286586
YYZ,ECP,981.4620656815318
YYZ,DTW,213.7348880492295
YYZ,DSM,727.8743216769906
YYZ,DFW,1198.2572960314028
YYZ,DEN,1311.8301436699578
YYZ,DCA,359.50065561705014
YYZ,DAY,351.8861801105662
YYZ,DAL,1192.8074218367617
YYZ,DAB,1004.7595920745887
YYZ,CVG,412.7429012325171
YYZ,CRW,380.4554052294807
YYZ,COS,1339.6123093133556
YYZ,CMH,304.58117164599105
YYZ,CLT,588.9051240187445
YYZ,CLE,193.02055983307127
YYZ,CID,624.3957494245071
YYZ,CHS,745.0570821550978
YYZ,CHO,387.5771411386163
YYZ,CHA,666.8129706974934
YYZ,CAK,212.0380804345902
YYZ,CAE,677.5821995445057
YYZ,BZN,1544.0746399445218
YYZ,BWI,346.78175841383626
YYZ,BUR,2159.8118790257095
YYZ,BUF,68.05144908277435
YYZ,BTV,326.0901449050176
YYZ,BTR,1105.595927962044
YYZ,BOS,444.82928021275575
YYZ,BOI,1815.2088715840289
YYZ,BNA,641.2217153860078
YYZ,BIS,1046.2024884436373
YYZ,BIL,1418.677675546323
YYZ,BHM,796.8800097171164
YYZ,BDL,371.93565605897874
YYZ,AVP,256.3003297801286
YYZ,AVL,590.0294739813552
YYZ,AUS,1358.2929881333673
YYZ,ATW,443.6109937185237
YYZ,ATL,740.0998317092062
YYZ,ALB,300.38704262349205
YYZ,AGS,723.1659232995567
